Time;S(1);dS(1);X(1);Y(1);Z(1);S(2);dS(2);X(2);Y(2);Z(2);S(3);dS(3);X(3);Y(3);Z(3);S(4);dS(4);X(4);Y(4);Z(4);S(5);dS(5);X(5);Y(5);Z(5);S(6);dS(6);X(6);Y(6);Z(6);S(7);dS(7);X(7);Y(7);Z(7);S(8);dS(8);X(8);Y(8);Z(8);S(9);dS(9);X(9);Y(9);Z(9);S(10);dS(10);X(10);Y(10);Z(10);S(11);dS(11);X(11);Y(11);Z(11);S(12);dS(12);X(12);Y(12);Z(12);S(13);dS(13);X(13);Y(13);Z(13);S(14);dS(14);X(14);Y(14);Z(14);S(15);dS(15);X(15);Y(15);Z(15);S(16);dS(16);X(16);Y(16);Z(16);S(17);dS(17);X(17);Y(17);Z(17);S(18);dS(18);X(18);Y(18);Z(18);S(19);dS(19);X(19);Y(19);Z(19);S(20);dS(20);X(20);Y(20);Z(20);S(21);dS(21);X(21);Y(21);Z(21);S(22);dS(22);X(22);Y(22);Z(22);S(23);dS(23);X(23);Y(23);Z(23);S(24);dS(24);X(24);Y(24);Z(24);
45305.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45306.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45307.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45308.000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45309.000000;21013152.3174336440;78.9562499865;-3604233.0588251441;13657749.4333330540;21237076.0566657480;21781611.5882309410;-658.9814856964;7010428.2093000785;22826887.9841342720;9107070.7023776006;;;;;;;;;;;;;;;;;;;;;;;;;;23912733.0465738290;669.4954845025;-13043093.2810178210;-3295080.4386350652;21729461.0766591880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21525639.2600815330;210.0029900537;16316255.0060253400;-7903462.5788363721;17938164.9891004040;19575436.6177449080;-7.3952518236;7820436.2266142331;7697215.7168136863;23025547.7686400970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45310.000000;20713431.8940049860;-299711.3452534624;-3605613.2600641088;13655184.0836912510;21238493.3628755320;21481149.9487926400;-300450.0954451098;7010043.9003835926;22825691.6785918510;9110376.0580503177;;;;;;;;;;;;;;;;;;;;;;;;;;23613593.6690600290;-299120.3174653316;-13044538.0802718440;-3297669.7470707353;21728194.2268941440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21226049.2297163420;-299580.1793230303;16318714.7014000510;-7903485.6755200848;17935911.8045216020;19275632.1167541300;-299797.8529802159;7818761.8991841562;7699892.6712557161;23025217.2525410730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45311.000000;20713514.0446976940;82.0939199274;-3606992.3889460005;13652621.2426386290;21239908.7427170910;21480494.0122686180;-655.9789291993;7009659.6707891840;22824496.2002740580;9113677.8939875253;;;;;;;;;;;;;;;;;;;;;;;;;;23614266.3314216990;672.4419859290;-13045981.5714412850;-3300256.1969839176;21726928.1235933860;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21226262.3322163600;213.1121170668;16321171.6306509820;-7903508.9596124776;17933660.4397423230;19275627.7389573450;-4.3960762469;7817089.4884412382;7702567.0513101229;23024886.5133121270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45312.000000;20713597.2835159230;83.2241424303;-3608371.8241387131;13650058.3475118840;21241323.6123624890;21479839.1307568440;-654.9131055975;7009275.1367182434;22823300.3543076140;9116979.5122337341;;;;;;;;;;;;;;;;;;;;;;;;;;23614939.7698759590;673.4894515539;-13047425.1977419150;-3302842.3751525395;21725661.5015449000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21226476.5414198670;214.2355810180;16323628.2511351670;-7903532.4541148348;17931408.6440719180;19275624.3813619020;-3.3432909110;7815417.3216173369;7705241.5312890932;23024555.2210865910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45313.000000;20713682.3145459700;84.9875325074;-3609751.5656211837;13647495.3984092120;21242737.9717142320;21479185.8937639970;-653.2077741091;7008890.2981249299;22822104.1408820600;9120280.9127034340;;;;;;;;;;;;;;;;;;;;;;;;;;23615614.8499808310;675.1653281664;-13048868.9591024820;-3305428.2813808331;21724394.3607221060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21226692.3892870250;215.9889553452;16326084.5628914050;-7903556.1591017898;17929156.4175681840;19275622.7546607960;-1.6480695060;7813745.3987620799;7707916.1110999128;23024223.3758728020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45314.000000;20713769.6474739020;87.2968803284;-3611131.6134328921;13644932.3953078180;21244151.8207363710;21478534.8749919240;-650.9731966865;7008505.1549037276;22820907.5599463510;9123582.0953116529;;;;;;;;;;;;;;;;;;;;;;;;;;23616292.0352277160;677.3708644915;-13050312.8553346640;-3308013.9157173983;21723126.7011571080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21226910.6523304920;218.2828437346;16328540.5657163410;-7903580.0744075328;17926903.7601713090;19275623.3886750680;0.5766355598;7812073.7198643479;7710590.7905323599;23023890.9776490810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
